SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21997,893,0029700983,"MAR 23, 1998",CHI vs. BOS,W,36,11,22,0.5,0,1,0.0,2,2,1.0,1,6,7,2,2,1,2,1,24,23.0,0
21997,893,0029700977,"MAR 22, 1998",CHI @ TOR,W,41,13,28,0.464,0,2,0.0,7,7,1.0,0,4,4,3,5,3,2,3,33,-1.0,0
21997,893,0029700964,"MAR 20, 1998",CHI vs. VAN,W,39,8,13,0.615,1,2,0.5,7,10,0.7,0,4,4,3,0,1,3,1,24,13.0,0
21997,893,0029700938,"MAR 17, 1998",CHI @ IND,W,42,14,28,0.5,1,3,0.333,6,9,0.667,1,3,4,2,1,0,2,1,35,9.0,0
21997,893,0029700930,"MAR 16, 1998",CHI vs. NJN,W,33,6,15,0.4,0,1,0.0,5,8,0.625,2,5,7,1,1,0,4,1,17,22.0,0
21997,893,0029700917,"MAR 14, 1998",CHI @ SAS,W,42,12,22,0.545,0,0,0.0,6,7,0.857,2,3,5,3,2,1,3,2,30,15.0,0
21997,893,0029700899,"MAR 12, 1998",CHI @ DAL,L,47,10,24,0.417,1,3,0.333,5,11,0.455,4,3,7,3,1,1,1,4,26,-11.0,0
21997,893,0029700884,"MAR 10, 1998",CHI vs. MIA,W,39,17,30,0.567,1,2,0.5,2,2,1.0,0,4,4,4,1,1,1,2,37,6.0,0
21997,893,0029700869,"MAR 08, 1998",CHI @ NYK,W,44,17,33,0.515,1,2,0.5,7,9,0.778,3,5,8,6,3,1,2,1,42,5.0,0
21997,893,0029700838,"MAR 03, 1998",CHI vs. DEN,W,40,12,19,0.632,0,0,0.0,6,6,1.0,0,7,7,2,2,0,2,1,30,23.0,0
21997,893,0029700820,"FEB 28, 1998",CHI vs. SAC,W,39,10,17,0.588,0,1,0.0,8,9,0.889,1,1,2,2,0,0,2,1,28,6.0,0
